courseno,classno,title,classification,instructor,credit,hour
37800,1,Academic Speaking in Pharmaceutical Sciences,Major elective,Soosung Kang,1.5,1.5
36217,1,Radiopharmaceuticals,Major elective,LIM  KYUNG MIN,1.5,1.5
37124,1,Pharmacy Administration,Major elective,SeungJin Bae,1.5,1.5
37802,1,Challenges in global health,Major elective,BAE Green,1.5,1.5
37804,1,Basics of Phase I IV Clinical Studies,Major elective,LIM  KYUNG MIN,1.5,1.5
37805,1,Therapeutic Sciences in Transition,Major elective,Hotcherl Jeong,1.5,1.5
37806,1,Modern Quantative Methods in Clinical and Public Health Reaearch,Major elective,SonKyungBok,1.5,1.5
36218,1,Cosmetic Science,Major elective,LIM  KYUNG MIN,1.5,1.5
37141,1,Drug Regulatory Affairs,Major elective,Chung Keel Lee,1.5,1.5
37145,1,Pharmacotherapeutics Ⅴ,Major requisite,Jeong Yeon Rhie,3,3
37145,2,Pharmacotherapeutics Ⅴ,Major requisite,Jeong Yeon Rhie,3,3
37145,3,Pharmacotherapeutics Ⅴ,Major requisite,Jeong Yeon Rhie,3,3
37809,1,Pharmaceutical care practice,Major elective,Ji Hyun Park,1.5,1.5
37811,1,Biosocial Perspective on Global Health Problems,Major elective,BAE Green,1.5,1.5
37814,1,Advanced ambulatory care pharmacy,Major elective,Ji Hyun Park,1.5,1.5
37815,1,AAPS biotechnology fundamentals of biotherapeutics development,Major elective,Soosung Kang,1.5,1.5
36217,2,Radiopharmaceuticals,Major elective,LIM  KYUNG MIN,1.5,1.5
37124,2,Pharmacy Administration,Major elective,SeungJin Bae,1.5,1.5
37802,2,Challenges in global health,Major elective,BAE Green,1.5,1.5
37804,2,Basics of Phase I IV Clinical Studies,Major elective,LIM  KYUNG MIN,1.5,1.5
37805,2,Therapeutic Sciences in Transition,Major elective,Hotcherl Jeong,1.5,1.5
37806,2,Modern Quantative Methods in Clinical and Public Health Reaearch,Major elective,SonKyungBok,1.5,1.5
37814,2,Advanced ambulatory care pharmacy,Major elective,Ji Hyun Park,1.5,1.5
37815,2,AAPS biotechnology fundamentals of biotherapeutics development,Major elective,Soosung Kang,1.5,1.5
36888,1,Great Minds in Social Sciences I,Major elective,Yoo  Sung jin,3,3
36889,1,Culture and Society,Major elective,Seahwa Kim,3,3
37694,1,Convergence of Biomedical Sciences and Brain and Cognitive Sciences,Major elective,JUNG YOON KIM,3,3
35674,1,International Political Economy,Major elective,Jean S. Kang,3,3
35688,1,Int'l Business Law,Major elective,Nu Ri Jung,3,3
36008,1,Corporate Finance,Major elective,Seok Weon Lee,3,3
36398,1,Macroeconomics,Major elective,Mah  Jai Sheen,3,3
36784,1,East Asian History and Civilization,Major elective,Sei Jeong Chin,3,3
35682,1,International Security & Peace,Major elective,Leif Eric Easley,3,3
35694,1,International Monetary Economics,Major elective,Mah  Jai Sheen,3,3
